번호,지역,냉면,비빔밥,김치찌개백반,삼겹살(환산전),삼겹살(환산후),자장면,삼계탕,칼국수,김밥
1,서울,12615,11769,8654,18154,21321,7654,18154,10038,3838
2,광주,10600,10800,9000,15400,16111,7400,17200,9400,3720
3,대구,11750,10417,8583,12083,18342,7083,17167,7583,3250
4,대전,11200,10900,10800,14600,18600,7600,16800,8800,3300
5,부산,11857,9686,8429,11500,18175,7000,17286,8071,3543
6,울산,10600,11000,8800,10400,17677,7000,15600,9500,3500
7,인천,11917,9167,8500,15650,17685,7083,16833,8833,3633
8,강원,10556,10444,9000,15333,15963,7167,16444,9389,3389
9,경기,10931,9914,8790,16897,18293,7586,17552,9810,3707
10,경남,10808,9154,8808,12369,19836,7000,17154,8077,3669
11,경북,10308,9908,8923,10846,17178,6769,16000,8385,3462
12,전남,9667,9556,8278,15556,18975,7278,16556,9333,2889
13,전북,10500,12100,9550,14680,16273,7100,17500,9300,3380
14,충남,10300,10050,9400,16500,17742,6900,16100,9100,3250
15,충북,9714,9457,9429,15143,15305,7000,15714,8857,3286
16,제주,9750,10500,9625,17500,17944,7750,16750,10375,3625
